编号,实体1,关系,实体2
2620,何定,mate,未知
5660,曹楷[曹仁子],mate,未知
3261,刘修,mate,未知
1753,蔡款,mate,未知
5802,曹冏[曹操族子],mate,未知
1810,曹抗,mate,未知
2277,范滂,mate,未知
1785,曹鼎,mate,未知
3283,刘胤,mate,未知
3514,麋威,mate,未知
4461,郤嘉,mate,未知
2984,乐隐,mate,未知
2660,邓绥,mate,刘肇
1506,殷馗,mate,未知
4735,严干,mate,未知
1790,曹孚,mate,未知
6066,刘安妻,mate,刘安
4014,孙密,mate,未知
1834,曹铄,mate,未知
1768,曹澳,mate,未知
1385,夏侯徽,mate,司马师
1126,吾粲,mate,未知
4714,荀衍,mate,未知
1791,曹辅,mate,未知
525,张钧,mate,未知
1881,曹棘,mate,未知
4633,许耽,mate,未知
1760,蔡遗,mate,未知
2442,龚禄,mate,未知
2242,段昭,mate,未知
5955,文种,mate,未知
1758,蔡文至,mate,未知
2064,大洪,mate,未知
6153,贾通,mate,未知
1986,陈祎[东汉],mate,未知
1880,曹乘,mate,未知
2443,龚肃,mate,未知
4189,王济,mate,未知
2324,服虔,mate,未知
1778,曹谌,mate,未知
2854,贾模,mate,未知
5865,管仲,mate,未知
1699,鲍鸿,mate,未知
1752,蔡机,mate,未知
3923,苏愉,mate,未知
4336,卫开,mate,未知
3574,庞季,mate,未知
1882,曹京,mate,未知
939,丁封,mate,未知
3098,栗成,mate,未知
4540,谢该,mate,未知
3311,刘子平,mate,未知
2665,贺达,mate,未知
3023,李惠,mate,未知
4836,杨嚣,mate,未知
2248,儿禅,mate,未知
3575,庞乐,mate,未知
138,程武,mate,未知
4810,杨骏,mate,未知
1542,陈修,mate,未知
979,何桢,mate,未知
1141,荀恺,mate,未知
2862,贾胤,mate,未知
2692,胡博,mate,未知
2000,陈佐,mate,未知
5315,甄荣,mate,未知
2379,高胜,mate,未知
3661,谯贤,mate,未知
2388,高祥,mate,未知
4681,薛州,mate,未知
2195,窦茂,mate,未知
4683,荀彪,mate,未知
4856,姚贡,mate,未知
5403,种辑,mate,未知
1923,陈炽,mate,未知
2875,姜隐,mate,未知
4403,吴桓,mate,未知
4848,杨岳,mate,未知
4965,虞伟高,mate,未知
5667,郭胜,mate,未知
5522,诸葛显,mate,未知
93,孙匡,mate,曹氏[孙匡妻]
4115,田乐,mate,未知
246,夏侯儒,mate,未知
1556,刘虎,mate,未知
2782,黄昂,mate,未知
4333,卫玠,mate,未知
5700,昌奇,mate,未知
5453,周纡,mate,未知
2323,扶严,mate,未知
405,杨怀,mate,未知
508,胡奋,mate,未知
162,庞会,mate,未知
2681,侯声,mate,未知
3239,刘太守,mate,未知
5377,钟迪,mate,未知
5463,朱宠,mate,未知
5488,朱熊,mate,未知
1462,孙炎,mate,未知
1034,刘延[魏],mate,未知
2590,韩士元,mate,未知
3126,廖式,mate,未知
2816,惠衢,mate,未知
5474,朱建平,mate,未知
3804,施明,mate,未知
1089,孙冀,mate,未知
1656,公孙珩,mate,未知
3061,李韬,mate,齐长公主
2813,黄柱,mate,未知
1701,鲍邵,mate,未知
1787,曹璠,mate,未知
4688,荀焘,mate,未知
2300,封赏,mate,未知
1452,李邹,mate,未知
96,曹奂,mate,卞皇后[曹奂妻]
2346,傅著,mate,未知
2314,冯异,mate,未知
2621,何都,mate,未知
457,卞喜,mate,未知
5564,左思,mate,未知
1638,闵纯,mate,未知
5094,张方,mate,未知
2070,戴胡阿狼泥,mate,未知
2959,苦蝤,mate,未知
2281,范耀,mate,未知
1019,李球,mate,未知
3240,刘陶[东汉],mate,未知
5009,袁龙,mate,未知
2312,冯熙,mate,未知
3944,孙丞,mate,未知
6002,庾亮,mate,未知
5335,郑宝,mate,未知
3809,石冰,mate,未知
3412,吕壹,mate,未知
168,牛辅,mate,未知
403,阎宇,mate,未知
4460,郄俭,mate,未知
2402,耿鄙,mate,未知
5394,钟演,mate,未知
4806,杨峤,mate,未知
3366,陆祎,mate,未知
3686,麴光,mate,未知
3625,曹淑,mate,甄黄
2832,吉穆,mate,未知
3785,沈弥,mate,未知
3422,罗袭,mate,未知
4210,王览,mate,未知
3007,李夫人,mate,曹丕
588,张承[吴],mate,未知
954,范强,mate,未知
5037,缘城,mate,未知
2200,杜长,mate,未知
4243,王柔,mate,未知
1072,丘建,mate,未知
1299,蹇图,mate,未知
345,孙綝,mate,未知
6123,李氏[马邈妻],mate,马邈
2756,桓邻,mate,未知
5450,周异,mate,未知
1099,土安,mate,未知
480,刘岱[东汉],mate,未知
519,孟达[蜀],mate,未知
5046,臧戒,mate,未知
3530,缪徵,mate,未知
710,骆统,mate,孙氏[骆统妻]
4932,酉牧,mate,未知
3428,骆曜,mate,未知
5119,张吉,mate,未知
5800,张明,mate,未知
120,刘琮[刘表子],mate,未知
1077,盛曼,mate,未知
1329,王儁,mate,未知
4274,王颀[东汉],mate,未知
514,徐质[魏讨蜀护军],mate,未知
1868,曹玉,mate,未知
4229,王摩,mate,未知
2825,嵇绍,mate,未知
3912,苏马,mate,未知
2375,高迁,mate,未知
5328,甄毅,mate,未知
3367,陆胤,mate,未知
1651,公孙修,mate,未知
4122,田彦和,mate,未知
2304,冯芳,mate,未知
4875,阴丽华,mate,刘秀
5728,王瓘,mate,未知
4142,王誧,mate,未知
3547,聂友,mate,未知
2002,成当,mate,未知
2094,邓静,mate,未知
4201,王凯,mate,未知
1629,刘林,mate,未知
5635,刘承[蜀],mate,未知
5418,周凤,mate,未知
3764,商曜,mate,未知
5849,吕后,mate,刘邦
167,董旻,mate,未知
6126,太史慈母,mate,未知
3408,吕兴,mate,未知
2989,雷定,mate,未知
1396,徐奕,mate,未知
5019,袁嗣,mate,未知
5080,张持,mate,未知
4979,庾嶷,mate,未知
3026,李简,mate,未知
2424,公孙集,mate,未知
4017,孙奇,mate,未知
4622,徐原,mate,未知
2239,段默,mate,未知
4396,吴砀,mate,未知
1964,陈声,mate,未知
3058,李朔,mate,未知
5129,张进,mate,未知
4340,卫权,mate,未知
754,柯吾,mate,未知
3414,吕由,mate,未知
1667,姚伷,mate,未知
4357,魏滕,mate,未知
4275,王雄,mate,未知
1304,射援,mate,未知
554,何晏,mate,金乡公主
5222,张异,mate,未知
4344,卫恂,mate,未知
2763,桓威,mate,未知
2680,侯览,mate,未知
3436,马和,mate,未知
994,黄崇,mate,未知
2693,胡薄居姿职,mate,未知
4362,魏种,mate,未知
5356,郑熙,mate,未知
287,吴懿,mate,未知
1065,桥公,mate,未知
4084,檀石槐,mate,未知
2889,蒋休,mate,未知
1409,徐宣,mate,未知
1742,不耐濊王,mate,未知
3845,顺阳乡君,mate,卞隆
1011,李孚,mate,未知
5458,周直,mate,未知
4578,徐存,mate,未知
5109,张衡,mate,未知
2207,杜基,mate,未知
3004,李定,mate,未知
3861,司马伦,mate,未知
4637,许混,mate,未知
1224,臧洪,mate,未知
1343,刘徽,mate,未知
4252,王士,mate,未知
2562,邯郸淳,mate,未知
2377,高尚,mate,未知
1687,白爵,mate,未知
498,濮阳兴,mate,未知
212,张横,mate,未知
3116,梁统,mate,未知
3401,吕睦,mate,未知
1584,白虎文,mate,未知
3765,上党王,mate,未知
2414,公仇称,mate,未知
1367,马相,mate,未知
1588,陈瑀,mate,未知
2706,胡母彪,mate,未知
3390,吕翻,mate,未知
3128,林恂,mate,未知
4788,杨帛,mate,未知
3787,沈友,mate,未知
4306,王照,mate,未知
1318,王商,mate,未知
1524,陈曶,mate,未知
974,郝萌,mate,未知
906,吕凯[蜀],mate,未知
1734,波调,mate,未知
3900,宋玮,mate,未知
748,骨进,mate,未知
3394,吕桂,mate,未知
2858,贾信,mate,未知
6145,蔡讽,mate,未知
833,向朗,mate,未知
4748,严昕,mate,未知
2114,邓骘,mate,未知
1749,蔡方,mate,未知
3964,孙规,mate,未知
2075,戴乾,mate,未知
5999,子冥,mate,未知
2321,扶禁,mate,未知
4239,王潜,mate,未知
518,许仪,mate,未知
3088,李越,mate,未知
5642,李通[东汉],mate,未知
3824,史路,mate,未知
3633,普富卢,mate,未知
2727,扈质,mate,未知
5288,赵韪,mate,未知
4832,杨条,mate,未知
5081,张赤,mate,未知
3459,马修,mate,未知
2555,郭政,mate,未知
4859,姚泰,mate,未知
4192,王简,mate,未知
6034,刘略[南海太守],mate,未知
6095,姜维母,mate,姜冏
5644,李仁[东汉],mate,未知
4822,杨仆,mate,未知
1218,边让,mate,未知
4247,王深,mate,未知
2280,范先,mate,未知
4228,王模,mate,未知
3987,孙建,mate,未知
2838,纪陟,mate,未知
4596,徐旗,mate,未知
2223,杜通,mate,未知
1957,陈勤,mate,未知
3312,刘租,mate,未知
4945,俞赞,mate,未知
3940,孙布,mate,未知
5879,杜甫,mate,未知
1711,卑湛,mate,未知
5200,张翔,mate,未知
5877,吴起,mate,未知
3783,沈成,mate,未知
1685,白侯子安,mate,未知
3999,孙狼,mate,未知
5436,周荣,mate,未知
5036,袁准,mate,未知
3334,卢显,mate,未知
4561,辛冉,mate,未知
5908,司马量,mate,未知
1102,王惇,mate,未知
1493,钟进,mate,未知
3550,牛盖,mate,未知
5176,张世,mate,未知
1750,蔡风,mate,未知
6134,中黄,mate,未知
1581,关定,mate,未知
5624,庞延[蜀],mate,未知
3309,刘子惠,mate,未知
2397,葛洪,mate,未知
4339,卫弥,mate,未知
2804,黄袭,mate,未知
700,吕旷,mate,未知
2169,董恢,mate,未知
4780,阳群,mate,未知
2042,淳于俊,mate,未知
5666,夏恽,mate,未知
3578,庞山民,mate,未知
108,许靖,mate,未知
267,公孙范,mate,未知
2948,孔信,mate,未知
6101,赵颜父,mate,未知
908,费曜,mate,未知
3980,孙徽,mate,未知
4447,武韶,mate,未知
3635,戚寄,mate,未知
5966,司马睿,mate,未知
4999,袁逢,mate,未知
3935,孙安,mate,未知
5064,詹强,mate,未知
4607,徐他,mate,未知
3204,刘括,mate,未知
4452,习隆,mate,未知
3421,罗市,mate,未知
6114,诸葛恪妻,mate,诸葛恪
4541,谢厷,mate,未知
1507,董扶,mate,未知
5110,张弘,mate,未知
2006,成弘,mate,未知
4564,邢举,mate,未知
5348,郑默,mate,未知
3709,全熙,mate,未知
882,张英,mate,未知
984,胡济,mate,未知
2385,高通,mate,未知
6091,姜叙母,mate,未知
2956,寇娄敦,mate,未知
1281,张范,mate,未知
3156,刘宠,mate,未知
2390,高雅,mate,未知
3788,审德,mate,未知
6133,左伯桃,mate,未知
1390,甘瑰,mate,未知
3445,马齐,mate,未知
5344,郑弘,mate,未知
1310,邓方,mate,未知
5187,张通,mate,未知
4990,袁安,mate,未知
5369,郑胄,mate,未知
1109,王门,mate,未知
4901,尹卢,mate,未知
3280,刘毅,mate,未知
5171,张邵,mate,未知
875,吾彦,mate,未知
2972,郎稚,mate,未知
1432,慕容烈,mate,未知
635,胡班,mate,未知
396,樊建,mate,未知
3303,刘植,mate,未知
4355,魏迁,mate,未知
2801,黄他,mate,未知
3331,卢钦,mate,未知
4062,孙毓,mate,未知
2871,姜冏,mate,姜维母
5123,张俭[东汉],mate,未知
1648,阳仪,mate,未知
4863,掖邪狗,mate,未知
2482,管统,mate,未知
2504,郭纯,mate,未知
2689,张皇后[刘禅妻],mate,刘禅
5923,苏献,mate,未知
5716,张普,mate,未知
1716,毕瑜,mate,未知
4249,王生,mate,未知
4168,王飞枭,mate,未知
1319,张超[张邈弟],mate,未知
3694,屈绪,mate,未知
4944,鱼豢,mate,未知
2179,董嗣,mate,未知
1594,夏恂,mate,未知
3734,任奕,mate,未知
918,蔡阳,mate,未知
3048,李韶,mate,未知
941,丁仪,mate,未知
4081,谭正,mate,未知
4534,谢承,mate,未知
2759,桓邵,mate,未知
2803,黄吴,mate,未知
732,士壹,mate,未知
4136,王豹,mate,未知
5062,翟文耀,mate,未知
3308,刘柱,mate,未知
211,李堪,mate,未知
393,张闿,mate,未知
5549,邹临,mate,未知
2258,樊阿,mate,未知
5518,诸葛诠,mate,未知
2808,黄邕,mate,未知
176,司马伷,mate,未知
1763,蔡元才,mate,未知
2792,黄朗,mate,未知
5449,周遗,mate,未知
1583,祖郎,mate,未知
3740,如淳,mate,未知
577,宋扬,mate,未知
4371,文岱,mate,未知
2811,黄珍,mate,未知
1101,王必,mate,未知
1466,韩龙,mate,未知
1661,赵浮,mate,未知
125,苏飞,mate,未知
1772,曹彬[曹操弟],mate,未知
2705,胡母班,mate,未知
3139,刘阿,mate,未知
2152,冬逢,mate,未知
594,杨丑,mate,未知
1628,曹茂,mate,未知
4821,杨沛,mate,未知
4851,杨竺,mate,未知
2273,氾嶷,mate,未知
1540,殷观,mate,未知
175,司马望,mate,未知
3163,刘诞,mate,未知
2567,韩斌,mate,未知
1321,陈容,mate,未知
1322,焦和,mate,未知
3158,刘慈,mate,未知
3299,刘整,mate,未知
1714,毕谌,mate,未知
2034,池阳君,mate,董君雅
1660,李历,mate,未知
2110,邓由,mate,未知
1529,于毒,mate,未知
2974,狼路,mate,未知
3997,孙伉,mate,未知
4584,徐和,mate,未知
3120,梁寓,mate,未知
214,成宜,mate,未知
3111,梁岐,mate,未知
1598,冯则,mate,未知
5153,张旻,mate,未知
3814,石建,mate,未知
4119,宣阳乡君,mate,王夔
1914,陈宝,mate,未知
5277,赵钦,mate,未知
955,伏寿,mate,刘协
5178,张式,mate,未知
5351,郑泉,mate,未知
1533,张雷公,mate,未知
3652,钱钦,mate,未知
3841,舒伯膺,mate,未知
4792,杨赐,mate,未知
2353,高艾,mate,未知
2712,胡卫,mate,未知
1873,曹珍,mate,未知
2917,晋宗,mate,未知
3995,孙楷,mate,未知
4653,许勋,mate,未知
2800,黄叔度,mate,未知
2952,孔乂,mate,未知
4052,孙怡,mate,未知
2855,贾穆,mate,未知
2073,戴烈,mate,未知
3978,孙奂,mate,未知
3419,罗厉,mate,未知
113,马忠[吴],mate,未知
3904,苏伯,mate,未知
2122,刁嘉,mate,未知
2810,黄元,mate,未知
1927,陈端,mate,未知
4790,杨崇,mate,未知
3090,李允,mate,未知
3021,李桓,mate,未知
5011,袁敏,mate,未知
2947,孔羡,mate,未知
5114,张护雄,mate,未知
4087,唐固,mate,未知
3606,裴遐,mate,未知
1913,陈败,mate,未知
3231,刘邵,mate,未知
3843,舒燮,mate,未知
3087,李玉,mate,未知
5235,张咏,mate,未知
4416,吴穰,mate,未知
1966,陈寔,mate,未知
4335,卫旌,mate,未知
3803,施宽,mate,未知
5073,张秉,mate,未知
4549,谢奇,mate,未知
4595,徐平,mate,未知
5333,徵崇,mate,未知
5334,正昂,mate,未知
2920,靳允,mate,未知
5280,赵泉,mate,未知
4160,王度,mate,未知
3166,刘惇,mate,未知
3395,吕合,mate,未知
4847,杨原,mate,未知
4173,王肱,mate,未知
2936,麋照,mate,未知
4071,孙子才,mate,未知
1249,高堂隆,mate,未知
2559,郭祖,mate,未知
5343,郑甘,mate,未知
5427,周旌,mate,未知
749,潘临,mate,未知
1410,卢毓,mate,未知
3002,李觌,mate,未知
2241,段训,mate,未知
2961,蒯祺,mate,未知
4411,吴免,mate,未知
916,蔡贡,mate,未知
3895,宋金,mate,未知
4069,孙咨,mate,未知
5259,赵犊,mate,未知
2599,韩晏,mate,未知
5419,周谷,mate,未知
5248,张属,mate,未知
3708,全吴,mate,未知
1185,钟离斐,mate,未知
3613,彭材,mate,未知
1525,郑绰,mate,未知
3820,史郃,mate,未知
4303,王泽,mate,未知
5853,刘章,mate,未知
1794,曹贡,mate,未知
3238,刘铄,mate,未知
3982,孙姬,mate,曹操
4694,荀缉,mate,未知
5729,邓敦,mate,未知
3628,蒲忠,mate,未知
1283,苏则,mate,未知
5402,种暠,mate,未知
3364,陆晏,mate,未知
3853,司马洪,mate,未知
3174,刘夫人,mate,曹操
477,韩暹,mate,未知
2457,顾邵,mate,孙氏[顾邵妻]
4196,王靖,mate,未知
1387,荀恽,mate,安阳公主
3018,李鸿,mate,未知
3631,濮阳逸,mate,未知
2147,丁忠,mate,未知
944,董贵人,mate,刘协
3305,刘仲始,mate,未知
4772,羊衜[吴],mate,未知
2701,胡伉,mate,未知
2793,黄龙,mate,未知
3605,裴頠,mate,未知
5648,郭诞[吴],mate,未知
2677,洪明,mate,未知
4808,杨敬叔,mate,未知
2901,焦先,mate,未知
4027,孙绍[孙策子],mate,未知
2398,葛奚,mate,未知
1376,阎忠,mate,未知
3220,刘平,mate,未知
3992,孙俊[孙和子],mate,未知
4259,王松,mate,未知
5844,周公,mate,未知
2417,公孙犊,mate,未知
5423,周护,mate,未知
1649,田韶,mate,未知
262,娄圭,mate,未知
1053,毛炅,mate,未知
2044,淳于式,mate,未知
2999,李成,mate,未知
3136,令狐邵,mate,未知
3450,马氏,mate,刘理
1779,曹炽,mate,未知
2393,高祚,mate,未知
4609,徐武,mate,未知
243,董昭,mate,未知
3857,司马俊,mate,未知
534,王伉,mate,未知
541,董厥,mate,未知
5889,曹参,mate,未知
3825,士赐,mate,未知
2427,公孙述,mate,未知
4302,王则,mate,未知
1246,杜畿,mate,未知
2796,黄琼,mate,未知
4799,杨恭,mate,未知
321,张纮,mate,未知
4853,杨宗,mate,未知
3353,陆康,mate,未知
5730,卢逊,mate,未知
4457,习祯,mate,未知
3636,祁庚,mate,未知
5519,诸葛融,mate,未知
1386,董奉,mate,未知
2069,带固,mate,未知
821,曹操叔父,mate,未知
1800,曹徽,mate,未知
5620,孙绰[孙暠子],mate,未知
626,侯成,mate,未知
1829,曹绍,mate,未知
3475,满伟,mate,未知
3291,刘元起,mate,未知
2171,董季中,mate,未知
2230,杜友,mate,未知
4455,习温,mate,未知
2860,贾栩,mate,未知
2641,何雄,mate,未知
4648,许叔龙,mate,未知
4343,卫文经,mate,未知
5319,甄脱,mate,未知
492,越吉,mate,未知
1941,陈焦,mate,未知
3203,刘琨,mate,未知
1289,常林,mate,未知
511,公孙康,mate,未知
1962,陈邵,mate,未知
654,周旨,mate,未知
1497,成公英,mate,未知
4449,武周,mate,未知
1259,刘氏[袁绍妻],mate,袁绍
4293,王营,mate,未知
3617,彭绮,mate,未知
4789,杨粲,mate,未知
4263,王同[东汉],mate,未知
3044,李权,mate,未知
2350,甘醴,mate,未知
5528,诸葛璋,mate,未知
155,孙霸,mate,刘氏[孙霸妻]
5013,袁沛,mate,未知
5429,周巨,mate,未知
5060,翟丹,mate,未知
4501,夏侯纂,mate,未知
1191,周善,mate,未知
4412,吴平,mate,未知
991,桓治,mate,未知
4818,杨敏,mate,未知
3651,钱博,mate,未知
5550,邹岐,mate,未知
5326,甄尧,mate,未知
2497,炅母,mate,未知
227,郭图,mate,未知
1275,李重,mate,未知
5371,治无戴,mate,未知
5532,祝公道,mate,未知
4398,吴范,mate,未知
4124,田银,mate,未知
4876,阴化,mate,未知
3479,毛晖,mate,未知
4610,徐翕,mate,未知
368,邓忠,mate,未知
3720,任度,mate,未知
1314,刘邕,mate,未知
170,温恢,mate,未知
3076,李业,mate,未知
2870,姜合,mate,未知
1277,王蕃,mate,未知
2448,顾承,mate,未知
2360,高蕃,mate,未知
1313,辅匡,mate,未知
1919,陈策,mate,未知
4865,伊健妓妾,mate,未知
1272,李整,mate,未知
1267,刘阐,mate,未知
3306,刘胄,mate,未知
1477,王晟,mate,未知
1369,任岐,mate,未知
4482,夏侯廉,mate,未知
4766,颜俊,mate,未知
4144,王才,mate,未知
109,麋竺,mate,未知
4535,谢崇,mate,未知
239,夏侯惠,mate,未知
322,孙礼,mate,未知
4345,卫臻,mate,未知
1585,管承,mate,未知
3718,扰龙宗,mate,未知
4793,杨迪,mate,未知
597,郭石,mate,未知
5430,周峻,mate,未知
2985,乐肇,mate,未知
4051,孙仪,mate,未知
3253,刘献,mate,未知
5506,诸葛恢,mate,未知
1142,荀爽,mate,未知
4230,王默,mate,未知
5122,张嘉,mate,未知
2135,丁览,mate,未知
1132,辛敞,mate,未知
1219,阮瑀,mate,未知
4795,杨丰,mate,未知
6022,李康,mate,未知
760,苻健,mate,未知
1090,孙皎,mate,未知
901,庞羲,mate,未知
1950,陈茂,mate,未知
4975,庾纯,mate,未知
3669,秦晃,mate,未知
40,王戎,mate,未知
4179,王海,mate,未知
4579,徐方,mate,未知
2170,董箕,mate,未知
1397,何夔,mate,未知
282,孙韶,mate,未知
2684,侯谐,mate,未知
3393,吕贡,mate,未知
4600,徐孺子,mate,未知
3974,孙弘,mate,未知
5374,智郁筑鞬,mate,未知
3446,马秦,mate,未知
4737,严圭,mate,未知
4625,徐忠,mate,未知
68,国渊,mate,未知
2271,樊子昭,mate,未知
4909,隐蕃,mate,未知
5995,萧望,mate,未知
969,韩福,mate,未知
1475,马承,mate,未知
1271,李乾,mate,未知
1545,孙贲,mate,未知
5179,张爽,mate,未知
1012,李辅,mate,未知
1093,孙震,mate,未知
1702,鲍韬,mate,未知
2687,后钱,mate,未知
4725,荀昱,mate,未知
967,郭马,mate,未知
2612,郝温,mate,未知
3951,孙恩,mate,未知
5864,申生,mate,未知
202,马腾,mate,未知
2777,皇甫隆,mate,未知
112,马忠[蜀],mate,未知
5744,裴绪,mate,未知
5503,诸葛绰,mate,未知
55,孙静,mate,未知
187,郭汜,mate,郭汜妻
5592,荀氏[毌丘俭儿媳],mate,未知
3301,刘政,mate,未知
5483,朱铄,mate,未知
186,李傕,mate,李傕妻
6149,贾彩,mate,未知
4281,王训,mate,未知
57,刘理,mate,马氏
4626,徐众,mate,未知
4783,杨阿若,mate,未知
247,夏侯兰,mate,未知
5695,黄奎,mate,李春香
3570,庞恭,mate,未知
3101,梁不疑,mate,未知
306,董袭,mate,未知
2184,董遇,mate,未知
2308,冯礼,mate,未知
1183,郑文,mate,未知
199,刘豹[匈奴],mate,蔡琰
4217,王烈,mate,未知
2266,樊英,mate,未知
460,傅肜,mate,未知
1679,阿骛,mate,荀攸
4451,奚熙,mate,未知
83,吕虔,mate,未知
1015,李乐,mate,未知
3723,任嘏,mate,未知
3348,陆机,mate,未知
4668,薛房,mate,未知
4597,徐钦,mate,未知
758,强端,mate,未知
5925,蒋雄,mate,未知
2023,程威,mate,未知
1229,难升米,mate,未知
4867,伊夷模,mate,未知
3355,陆瑁,mate,未知
3429,麻余,mate,未知
4553,谢渊,mate,未知
5165,张泉,mate,未知
808,王甫,mate,未知
5681,严氏,mate,吕布
3732,任延,mate,未知
3254,刘详,mate,未知
526,陆绩,mate,未知
4814,杨林,mate,未知
231,曹羲,mate,未知
5870,张良,mate,未知
2237,段颎,mate,未知
5442,周舒,mate,未知
1282,凉茂,mate,未知
1217,枣祗,mate,未知
3665,秦伯南,mate,未知
816,孙朗,mate,未知
3722,任福,mate,未知
1792,曹馥,mate,未知
66,邓芝,mate,未知
5529,诸葛直,mate,未知
4834,杨伟,mate,未知
5135,张就,mate,未知
3879,司马遹,mate,未知
3759,山简,mate,未知
5494,朱寓,mate,未知
3914,苏仆延,mate,未知
4634,许定,mate,未知
5827,刘胜,mate,未知
5116,张奂,mate,未知
2673,贺质,mate,未知
1647,柳毅,mate,未知
4643,许乾,mate,未知
1624,全柔,mate,未知
3668,秦夫人,mate,曹操
5963,裴松之,mate,未知
3690,麴英,mate,未知
930,陈元[西晋],mate,未知
1572,郭贡,mate,未知
4925,雍茂,mate,未知
1735,伯固,mate,未知
595,戴陵,mate,未知
6117,王良,mate,未知
2969,来忠,mate,未知
3152,刘长仁,mate,未知
495,蛾遮塞,mate,未知
2710,胡氏,mate,刘琰
3330,卢洪,mate,未知
4712,荀羡,mate,未知
4413,吴普,mate,未知
578,朱讚,mate,未知
1108,王买,mate,未知
1189,周昂,mate,未知
6143,孟虬,mate,未知
957,高柔,mate,未知
4812,杨览,mate,未知
601,杨弘[袁术],mate,未知
1479,种拂,mate,未知
6068,刘氏[费观妻],mate,费观
5134,张烱,mate,未知
258,张绍,mate,未知
4777,羊琇,mate,未知
469,士匡,mate,未知
2958,寇恂,mate,未知
1499,王当,mate,未知
3071,李修,mate,未知
607,孟优,mate,未知
871,于诠,mate,未知
2305,冯斐,mate,未知
3084,李应,mate,未知
6128,南斗,mate,未知
5845,项庄,mate,未知
2636,何双,mate,未知
8,贺齐,mate,未知
6096,曹宪,mate,刘协
1311,费观,mate,刘氏[费观妻]
491,霍弋,mate,未知
156,刘琰,mate,胡氏
5000,袁夫人,mate,孙权
1840,曹琬,mate,未知
3527,缪祎,mate,未知
1730,卞皇后[曹奂妻],mate,曹奂
333,留赞,mate,未知
4472,夏侯承,mate,未知
6038,陈元[东汉],mate,未知
785,陈矫,mate,未知
3615,彭旦,mate,未知
399,董荼那,mate,未知
5065,詹晏,mate,未知
166,孙资,mate,未知
5899,霍光,mate,霍显
261,张遵,mate,未知
572,吴巨,mate,未知
5346,郑礼,mate,未知
3241,刘琬,mate,未知
2420,公孙方,mate,未知
3489,梅乾,mate,未知
887,士仁,mate,未知
3565,潘翥,mate,未知
3427,骆秀,mate,未知
5868,张仪,mate,未知
4511,刘备母,mate,刘弘[刘备父]
5888,萧何,mate,未知
3373,鹿磐,mate,未知
1439,刘桢,mate,未知
3533,沐仪,mate,未知
4392,吴安,mate,未知
3659,谯同,mate,未知
5563,左灵,mate,未知
663,袁熙,mate,文昭皇后
2783,黄柄,mate,未知
3638,齐万年,mate,未知
909,黄乱,mate,未知
1967,陈氏[潘祕妻],mate,潘祕
4080,谭绍,mate,未知
5196,张憙,mate,未知
1502,张牛角,mate,未知
2679,侯和,mate,未知
5233,张瑛,mate,未知
4741,严凯,mate,未知
753,丘力居,mate,未知
5884,紫虚上人,mate,未知
4532,校尉廆,mate,未知
3637,齐长公主,mate,李韬
3637,齐长公主,mate,任恺
3089,李云,mate,未知
1320,徐璆,mate,未知
5596,习氏[庞林妻],mate,庞林
2209,杜保,mate,未知
1190,周浚,mate,未知
3537,乃太原,mate,未知
986,胡渊,mate,未知
1681,安阳公主,mate,荀恽
1372,薛悌,mate,未知
1237,赵昂,mate,王异
1154,杨陵,mate,未知
3540,难楼,mate,未知
5801,蒲元,mate,未知
4039,孙香,mate,未知
5195,张喜,mate,未知
5835,刘哀,mate,未知
2978,乐方,mate,未知
5607,安喜君,mate,甄逸
5739,徐康,mate,未知
1381,宗宝,mate,未知
2060,崔骃,mate,未知
1731,卞远,mate,敬侯夫人
1878,曹志,mate,未知
1036,留平,mate,未知
2817,霍彪,mate,未知
4257,王思,mate,未知
3521,明元皇后,mate,曹叡
3031,李俊,mate,未知
3731,任先,mate,未知
1285,杜宽,mate,未知
2934,瞿恭,mate,未知
349,孙异,mate,未知
5911,岑昏,mate,未知
2638,何遂,mate,未知
2178,董氏[马超妻],mate,马超
34,嵇康,mate,曹氏[嵇康妻]
5645,李光[吴],mate,未知
5026,袁雄,mate,未知
3671,秦狼,mate,未知
1027,梁习,mate,未知
3627,蒲头,mate,未知
4170,王昭仪,mate,曹操
883,蔡勋,mate,未知
1496,岑晊,mate,未知
1105,王建,mate,未知
5293,赵英,mate,未知
2963,匡琦,mate,未知
4292,王隐,mate,未知
1203,左奕,mate,未知
4079,贪至王,mate,未知
1365,卫温,mate,未知
3670,秦静,mate,未知
305,张既,mate,未知
4169,王芬,mate,未知
3099,栗攀,mate,未知
1673,郑玄,mate,未知
619,魏续,mate,未知
1411,吕昭,mate,未知
2913,金乡公主,mate,何晏
3363,陆延,mate,未知
4508,夏昭,mate,未知
641,袁谭,mate,未知
2381,高寿,mate,未知
6084,张氏[孙和嫡妃],mate,孙和
2570,韩范,mate,未知
1207,宗预,mate,未知
6129,北斗,mate,未知
1298,杨戏,mate,未知
2957,寇氏,mate,未知
291,朱桓,mate,未知
1645,公孙豹,mate,未知
1783,曹琮,mate,未知
1338,鲜于辅,mate,未知
5035,袁忠,mate,未知
2347,干宝,mate,未知
1430,王熙,mate,未知
1921,陈谌,mate,未知
3693,屈晃,mate,未知
3609,裴玄,mate,未知
995,黄邵,mate,未知
1205,毕轨,mate,未知
